SKU;Nom;SKU parent;Min - Max;Type;Prix par défaut;Prix du supplément;Département;Menu/Écran;Nom du bouton;Couleur du bouton;Style du bouton;Code-barres;Prix de revient;Contenu (gestion des stocks);Unité du contenu (gestion des stocks);Poids;Tare (grammes, vente au poids);Partage;Nom du bon de commande;Plat;Groupe statistique;Instruction de production
12;jus d orange;;;article;4.2;;Jus de fruits;CARTE TEST DETAILLEE/JUS/JUS DETAILLE,BUFFET/JUS/JUS DETAILLE;jus d orange;BLUE;Accentuer;;0.7000;;;;;GLOBAL;;;default/Jus;
13;Jus pomme;;;article;4.2;;Boissons;CARTE TEST DETAILLEE/JUS/JUS DETAILLE,BUFFET/JUS/JUS DETAILLE;Jus d'orange ou pomme;BLUE;Accentuer;;;;;;;GLOBAL;;;default/JUS;
15;Jus de carottes;;;article;3.2;;Boissons;CARTE TEST DETAILLEE/JUS/JUS DETAILLE,BUFFET/JUS/JUS DETAILLE;Jus de carottes;BLUE;Accentuer;;;;;;;GLOBAL;;;default/JUS;
30;JUS DU JOUR;;;article;4.8;;jus de fruit;carte londres/JUS,Salon/JUS, carte londres détaillée local/JUS,CARTE TEST DETAILLEE/JUS,BUFFET/JUS, carte londres détaillée Livraison/JUS, carte londres détaillée/JUS;moyen JUS DU JOUR ou classique 33 cl formule;BLUE;Accentuer;;1.5000;;;;;GLOBAL;;;;
31;moyen smoothie;;;article;4.8;;Jus de fruits;carte londres/JUS,Salon/JUS, carte londres détaillée local/JUS,CARTE TEST DETAILLEE/JUS,BUFFET/JUS, carte londres détaillée Livraison/JUS, carte londres détaillée/JUS;Moyen Cocktail 33 cl smoothie;PINK;Accentuer;;1.2000;;;;;GLOBAL;;;;
32;Grand smoothie;;;article;5.8;;Jus de fruits;carte londres/JUS,Salon/JUS, carte londres détaillée local/JUS,CARTE TEST DETAILLEE/JUS,BUFFET/JUS, carte londres détaillée Livraison/JUS, carte londres détaillée/JUS;Grand Cocktail 47cl smoothie;PINK;Accentuer;;1.7000;;;;;GLOBAL;;;;
33;Petit smoothie;;;article;3.8;;Boissons;carte londres/JUS,Salon/JUS,CARTE TEST DETAILLEE/JUS,BUFFET/JUS, carte londres détaillée Livraison/JUS;Petit Cocktail 25cl smoothie;PINK;Accentuer;;1.5000;;;;;GLOBAL;;;;
41;Evian;;;article;2.0;;SOFT;carte londres/SOFT,Salon/SOFT, carte londres détaillée local/SOFT,CARTE TEST DETAILLEE/SOFT,BUFFET/SOFT, carte londres détaillée Livraison/SOFT, carte londres détaillée/SOFT;Evian;BLUE;Accentuer;;0.4500;;;;;GLOBAL;;;default/BOISSON;
42;San Pellegrino;;;article;2.0;;SOFT;carte londres/SOFT,Salon/SOFT, carte londres détaillée local/SOFT,CARTE TEST DETAILLEE/SOFT,BUFFET/SOFT, carte londres détaillée Livraison/SOFT, carte londres détaillée/SOFT;San Pellegrinos;BLUE;Accentuer;;0.4500;;;;;GLOBAL;;;default/BOISSON;
43;Cafe;;;article;2.0;;autres;carte londres/AUTRES, carte londres détaillée local/AUTRES,CARTE TEST DETAILLEE/AUTRES, carte londres détaillée Livraison/AUTRES, carte londres détaillée/AUTRES;Cafe;BLUE;Accentuer;;0.6000;;;;;GLOBAL;;;;
51;eau de bouleau;;;article;4.0;;Boissons;carte londres détaillée local/SOFT,CARTE TEST DETAILLEE/SOFT,BUFFET/SOFT, carte londres détaillée Livraison/SOFT, carte londres détaillée/SOFT;eau de bouleau;BLUE;Accentuer;;1.5000;;;;;SHARED;;;;
53;Vitamin Water Antioxidant;;;article;3.8;;SOFT;carte londres/SOFT, carte londres détaillée local/SOFT,CARTE TEST DETAILLEE/SOFT,BUFFET/SOFT, carte londres détaillée Livraison/SOFT, carte londres détaillée/SOFT;vitamin water;BLUE;Accentuer;;1.4000;;;;;GLOBAL;;;default/BOISSON;
63;Soda;;;article;2.0;;SOFT;carte londres/SOFT,Salon/SOFT, carte londres détaillée local/SOFT,CARTE TEST DETAILLEE/SOFT,BUFFET/SOFT, carte londres détaillée Livraison/SOFT, carte londres détaillée/SOFT;Soda ( coca cola, orangina );BLUE;Accentuer;;0.5000;;;;;GLOBAL;;;;
71;Cake;;;article;3.0;;Desserts;carte londres/DESSERTS,Salon/DESSERTS, carte londres détaillée local/DESSERTS,CARTE TEST DETAILLEE/DESSERTS,BUFFET/DESSERTS, carte londres détaillée Livraison/DESSERTS, carte londres détaillée/DESSERTS;Cake;BLUE;Accentuer;;0.8000;;;;;GLOBAL;;;;
79;Sandwich;;;article;5.5;;Sandwich;carte londres/SANDWICH,Salon/SANDWICH;Sandwich;DARK_RED;Accentuer;;1.2000;;;;;GLOBAL;;;;
85;Grande Soupe;;;article;5.6;;Soupes;carte londres/SOUPES,Salon/SOUPES, carte londres détaillée local/SOUPES,CARTE TEST DETAILLEE/SOUPES,BUFFET/SOUPES, carte londres détaillée Livraison/SOUPES, carte londres détaillée/SOUPES;Grande Soupe 47cl;BLUE;Accentuer;;1.1500;;;;;GLOBAL;;;;
87;Petite soupe 25cl;;;article;3.6;;Soupes;carte londres/SOUPES,CARTE TEST DETAILLEE/SOUPES,BUFFET/SOUPES, carte londres détaillée Livraison/SOUPES;Petite soupe 25cl;BLUE;Accentuer;;1.0000;;;;;GLOBAL;;;;
94;Fromage blanc / yaourt;;;article;3.5;;Desserts;carte londres/DESSERTS,Salon/DESSERTS, carte londres détaillée local/DESSERTS, carte londres détaillée Livraison/DESSERTS, carte londres détaillée/DESSERTS;Fromage blanc / yaourt;DARK_RED;Accentuer;;0.5000;;;;;GLOBAL;;;;
96;Crumble;;;article;3.5;;Desserts;carte londres/DESSERTS,Salon/DESSERTS;Crumble;DARK_RED;Accentuer;;0.9000;;;;;GLOBAL;;;;
97;Brownie;;;article;3.5;;Desserts;CARTE TEST DETAILLEE/DESSERTS,BUFFET/DESSERTS;Brownie;BLUE;Accentuer;;;;;;;GLOBAL;;;;
98;Fromage B. Muesli;;;article;3.5;;Desserts;CARTE TEST DETAILLEE/DESSERTS,BUFFET/DESSERTS;Fromage B. Muesli;BLUE;Accentuer;;0.7000;;;;;GLOBAL;;;;
100;Salade de fruits;;;article;4.0;;Desserts;carte londres/DESSERTS,Salon/DESSERTS, carte londres détaillée local/DESSERTS,CARTE TEST DETAILLEE/DESSERTS,BUFFET/DESSERTS, carte londres détaillée Livraison/DESSERTS, carte londres détaillée/DESSERTS;Salade de fruits;BLUE;Accentuer;;0.9000;;;;;GLOBAL;;;;
106;cookie;;;article;3.0;;Desserts;carte londres/DESSERTS,Salon/DESSERTS, carte londres détaillée local/DESSERTS, carte londres détaillée Livraison/DESSERTS, carte londres détaillée/DESSERTS;cookie;DARK_RED;Accentuer;;0.5000;;;;;GLOBAL;;;;
114;tiramisu;;;article;3.5;;Desserts;CARTE TEST DETAILLEE/DESSERTS,BUFFET/DESSERTS;tiramisu;BLUE;Accentuer;;1.2000;;;;;GLOBAL;;;default/DESSERT;
127;mousse choco/pannacotta/caram?llissimo;;;article;3.5;;Desserts;carte londres/DESSERTS,Salon/DESSERTS, carte londres détaillée local/DESSERTS, carte londres détaillée Livraison/DESSERTS, carte londres détaillée/DESSERTS;mousse/tiramisu/panacotta/mi cuit/fondant;DARK_RED;Accentuer;;0.9000;;;;;GLOBAL;;;;
130;Salade menu;;;article;6.5;;SALADE;carte londres/SALADE,Salon/SALADE, carte londres détaillée local/SALADE, carte londres détaillée Livraison/SALADE, carte londres détaillée/SALADE;Salade;DARK_RED;Accentuer;;1.6500;;;;;GLOBAL;;;;
131;Grande Salade;;;article;7.5;;SALADE;carte londres/SALADE;Grande Salade;BLUE;Accentuer;;1.8000;;;;;GLOBAL;;;default/SALADE;
138;Petite salade;;;article;4.5;;SALADE;carte londres/SALADE;Petite salade;BLUE;Accentuer;;1.1000;;;;;GLOBAL;;;;
186;fruit;;;article;1.0;;Desserts;carte londres/DESSERTS;fruit;BLUE;Accentuer;;0.5000;;;;;GLOBAL;;;;
187;Grand jus;;;article;5.8;;Jus de fruits;carte londres/JUS,Salon/JUS, carte londres détaillée local/JUS,CARTE TEST DETAILLEE/JUS,BUFFET/JUS, carte londres détaillée Livraison/JUS, carte londres détaillée/JUS;Grand jus du jour ou classique 47;BLUE;Accentuer;;1.6500;;;;;GLOBAL;;;;
194;Chips;;;article;2.0;;autres;carte londres/AUTRES,Salon/AUTRES, carte londres détaillée local/AUTRES,CARTE TEST DETAILLEE/AUTRES, carte londres détaillée Livraison/AUTRES, carte londres détaillée/AUTRES;Chips;BLUE;Accentuer;;0.5500;;;;;GLOBAL;;;;
202;GALETTE DE MAÏS : RIZ;;;article;4.0;;autres;carte londres/AUTRES,Salon/AUTRES, carte londres détaillée local/AUTRES,CARTE TEST DETAILLEE/AUTRES, carte londres détaillée Livraison/AUTRES, carte londres détaillée/AUTRES;Paquet cookies;BLUE;Accentuer;;2.0000;;;;;SHARED;;;;
212;galette de riz;;;article;2.0;;Boissons à emporter;carte londres/AUTRES, carte londres détaillée local/AUTRES,CARTE TEST DETAILLEE/AUTRES, carte londres détaillée Livraison/AUTRES, carte londres détaillée/AUTRES;galette de riz;BLUE;Accentuer;;0.5500;;;;;GLOBAL;;;;
237;grande quiche;;;article;7.5;;PLATS;carte londres/PLAT CHAUD,Salon/PLAT CHAUD, carte londres détaillée local/PLAT CHAUD,CARTE TEST DETAILLEE/PLAT CHAUD,BUFFET/PLAT CHAUD, carte londres détaillée Livraison/PLAT CHAUD, carte londres détaillée/PLAT CHAUD;grande quiche;DARK_RED;Accentuer;;2.5000;;;;;GLOBAL;;;;
242;Soupe Japonaise;;;article;7.5;;PLATS;carte londres/PLAT CHAUD,CARTE TEST DETAILLEE/PLAT CHAUD,BUFFET/PLAT CHAUD;Soupe Japonaise;DARK_RED;Accentuer;;1.8000;;;;;GLOBAL;;;;
244;Petit jus;;;article;3.2;;Jus de fruits;carte londres/JUS,Salon/JUS,CARTE TEST DETAILLEE/JUS,BUFFET/JUS, carte londres détaillée Livraison/JUS;Petit jus du jour ou classique 25 cl;BLUE;Accentuer;;1.0000;;;;;GLOBAL;;;default/1;
821;Salade (saumon, gravalax);;;article;6.5;;SALADE;CARTE TEST DETAILLEE/SALADE,BUFFET/SALADE, carte londres détaillée Livraison/SALADE;Salade (saumon, gravalax);BLUE;Accentuer;;1.6500;;;;;GLOBAL;;;default/SALADE;
824;Salade choux rouge;;;article;6.5;;SALADE;carte londres détaillée local/SALADE,CARTE TEST DETAILLEE/SALADE,BUFFET/SALADE, carte londres détaillée/SALADE;Salade Choux Rouge;BLUE;Accentuer;;1.5000;;;;;GLOBAL;;;;
825;Soupe brocolis;;;article;4.6;;Soupes;carte londres détaillée local/SOUPES/DESCRIPTIF,CARTE TEST DETAILLEE/SOUPES/SOUPE DETAILLEE,BUFFET/SOUPES/SOUPE DETAILLEE, carte londres détaillée Livraison/SOUPES/DESCRIPTIF, carte londres détaillée/SOUPES/DESCRIPTIF;Brocolis au bleu;BLUE;Accentuer;;1.2000;;;;;GLOBAL;;;default/SOUPE;
1118;SOUPE 1L;;;article;7.0;;Soupes;carte londres/SOUPES;SOUPE 1L;BLUE;Accentuer;;2.5000;;;;;GLOBAL;;;;
1130;SORBET;;;article;3.8;;Desserts;carte londres/DESSERTS;SORBET;BLUE;Accentuer;;1.7000;;;;;GLOBAL;;;;
