id,categorie,type,nom,prix,volume,prix_supplement,libelle_supplement,description,visible,ordre
1,JUS,article,"SLIM DÉTOX",5.8,"47 cl",,,"Ananas, orange, citron vert, menthe",1,0
2,JUS,article,"SUNNY WAKE UP",5.8,"47 cl",,,"Açaï, orange, fraise, kiwi",1,1
3,JUS,article,SUPERFLY,5.8,"47 cl",,,"Pomme, citron, gingembre",1,2
4,JUS,article,"STRESS OVER",5.8,"47 cl",,,"Orange, banane, fraise",1,3
5,JUS,article,"PURPLE DÉTOX",5.8,"47 cl",,,"Pomme, betterave, gingembre, fraise",1,4
6,JUS,article,C++,5.8,"47 cl",,,"Orange, carotte, gingembre, curcuma",1,5
7,JUS,article,"PURA VIDA",5.8,"47 cl",,,"Concombre, citron, pomme, graine de chia",1,6
8,JUS,article,SHREK,5.8,"47 cl",,,"Pomme, citron vert, épinard",1,7
221,JUS,article,"PINK SUMMER DELIGHT",5.8,"47 cl",,,"Pomme, framboise, menthe",1,8
73,SOUPES,article,"CAROTTE PAVOT",,,,,"Chou-fleur, carottes, graines de pavot",1,23
74,SOUPES,article,"LENTILLES À L'INDIENNE",,,,,"Carotte, lentilles vertes, pois cassés, curry",1,24
185,SOUPES,article,CHAMPIGNONS,,,,,"Champignons de Paris, pommes de terre, vin blanc, persil",1,25
190,SOUPES,article,"CAROTTES POMMES ET CURRY",,,,,"Carottes, pommes, oignons, curry",1,26
195,SOUPES,article,"ÉPINARD FETA",,,,,"Épinards, feta, lait",1,27
211,SOUPES,article,POTIMARRON,,,,,Potimarron,1,28
26,"PLATS CHAUDS",article,"POULET TIKKA",7.5,,,,"Riz, poulet, crème, tomates",1,31
43,"PLATS CHAUDS",article,"TIKKA VÉGÉTARIEN",7.5,,,,"Riz basmati, tomates, lait de coco",1,32
27,"PLATS CHAUDS",article,"COUSCOUS POULET",7.5,,,,"Semoule, poulet, légumes",1,33
